Association Id,Association Name
1,RDCA - Seniors & Juniors
2,South Australia National Football League (SANFL)
3,West Australian Football League (WAFL)
7,Peel DFDC
13,Northern Zone
14,NRL SA Metro
15,Western Australian RL
18,NRL Victoria
21,Wodonga Storm Rugby League
63,Katherine Junior Rugby League
64,Northern Territory Rugby League
66,Central Australian Rugby Football League
67,Tasmania RL
68,Penrith and District Junior Rugby League
69,Wests Tigers Macarthur DJRL
70,North Sydney JRL
71,Parramatta JRL
72,Cronulla/Sutherland JRL
73,Manly JRL
74,St George JRL
75,Canterbury Bankstown JRL
76,South Sydney JRL
77,Balmain JRL
84,Central Coast Division Junior Rugby League
85,Canberra Region JRL
88,Tooheys Group 11 - Seniors
90,Hunter Valley Group 21 RL
91,Group 10 - Juniors
92,Group 6 Rugby League
93,Group 20 Rugby League
94,Newcastle JRL Association Inc.
96,Group 9 Rugby League Inc
97,Group 20 Rugby League - Juniors
98,Group 3 Rugby League - Juniors
99,Maitland and District Junior Rugby League
100,Central Coast Division Rugby League
101,Group 4 Rugby League - Seniors
102,Group 3 RL - Seniors
103,Group 6 JRL
104,Group 9 JRL
105,Group 21 JRL
106,Illawarra DRL
107,Group 2 JRL
108,South Coast Group 7 Rugby League
111,North West Group 4 JRL
112,Group 11 Junior Rugby League
114,Northern Rivers Regional Rugby League
116,Group 14 Rugby League
117,Group 18 Junior Rugby League
118,Group 10 - Seniors
119,Woodbridge Cup
121,Group 19 Rugby League
122,Group 2 Rugby League - Seniors
124,Group 19 Junior Rugby League
126,Group 1 JRL
127,Group 16 Minor Rugby League (Juniors)
128,Group 16 Rugby League
129,Castlereagh League
133,Hastings League
135,CRL Representatives
136,National Rugby League
139,Australian Secondary Schools Rugby League
140,Australian Womens Rugby League
142,WAFC Test
144,Nowra Albatross Vikings Auskick Centre
149,Saratoga Auskick Centre
151,Sawtell Auskick Centre
152,Albury Auskick Centre
154,Aldavilla PS (After School) Auskick Centre
159,Scotts Head PS (After School) Auskick Centre
161,Seven Hills North PS (After School) Auskick Centre
165,Shellharbour Auskick Centre
168,Arden Anglican School (After School) Auskick Centre
169,Sherwood Grange PS (After School) Auskick Centre
170,Ardlethan (Ages 5 - 10) Auskick Centre
172,Ariah Park (Ages 5 - 10) Auskick Centre
173,Singleton Roosters Auskick Centre
174,Armidale Auskick Centre
176,The Armidale School (After School) Auskick Centre
178,Ashbury PS (After School) Auskick Centre
180,Ashmont PS (After School) Auskick Centre
186,Bald Face PS (After School) Auskick Centre
187,South West Rocks PS (After School) Auskick Centre
190,Ballina JAFC Auskick Centre
193,Southern Highlands Auskick Centre
194,Bangor Auskick Centre
195,St Aloysius Primary School (After School) Auskick Centre
198,Bankstown PS (After School) Auskick Centre
200,Bankstown Sports Auskick Centre
202,Barellan (Ages 5 - 10) Auskick Centre
203,St Catherines PS (Gymea After School) Auskick Centre
205,St Clair Auskick Centre
206,The Entrance Bateau Bay Auskick Centre
207,St Fiacre's (After School) Auskick Centre
209,St Francis Xavier Central Public School
210,Batemans Bay Seahawks Auskick Centre
212,Bathurst Bushrangers Auskick Centre
218,Baulkham Hills Auskick Centre
220,Bay and Basin Bombers Auskick Centre
221,St Ives Auskick Centre
